Sample,excluded_from_analysis
SRR38121700,No
SRR38121699,No
SRR38121698,No
SRR38121697,No
SRR38121696,No
SRR38121695,No
SRR38121715,No
SRR38121714,No
SRR38121713,No
SRR38121712,No
SRR38121711,No
SRR38121710,No
SRR38121709,No
SRR38121708,No
SRR38121707,No
SRR38121706,No
SRR38121704,No
SRR38121703,No
SRR38121702,No
SRR38198055,No
SRR38198054,No
SRR38198053,No
SRR38287117,No
SRR38198052,No
SRR38287116,No
SRR38287107,No
SRR38287106,No
SRR38287105,No
SRR38287104,No
SRR38287103,No
SRR38287102,No
SRR38287101,No
SRR38287100,No
SRR38287115,No
SRR38287114,No
SRR38287113,No
SRR38287109,No
SRR38287108,No
SRR38287112,No
SRR38287110,No
SRR38287111,No
