task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	12/cf2b35	164310	APHL_GAS:GAS:FASTP (SRR38121700)	CACHED	0	2026-05-01 12:23:45.531	51.7s	48.2s	127.9%	1.3 GB	1.9 GB	133.6 MB	82.6 MB
2	dc/82b6f5	164309	APHL_GAS:GAS:EMM_MLST:SHOVILL (SRR38121700)	CACHED	0	2026-05-01 12:23:45.501	4m 38s	3m 51s	276.7%	2.7 GB	51.5 GB	2.1 GB	1.9 GB
4	36/171f22	164424	APHL_GAS:GAS:EMM_MLST:QUAST (SRR38121700)	CACHED	0	2026-05-01 12:28:29.742	4m 46s	11.2s	195.3%	80.3 MB	2.7 GB	194.9 MB	5.9 MB
3	fd/79d5e8	164422	APHL_GAS:GAS:EMM_MLST:MLST (SRR38121700)	CACHED	0	2026-05-01 12:28:27.803	4m 35s	2.1s	45.8%	140.7 MB	209.8 MB	6.4 MB	2.7 MB
5	81/3931a6	164423	APHL_GAS:GAS:EMM_MLST:EMM_TYPER (SRR38121700)	CACHED	0	2026-05-01 12:28:28.862	4m 39s	2s	1086.8%	55.7 MB	14.9 GB	19.7 MB	3 KB
6	7a/09c658	164311	APHL_GAS:GAS:FASTP (SRR38121699)	CACHED	0	2026-05-01 12:23:47.151	55.1s	51.4s	118.6%	1.3 GB	1.9 GB	130.8 MB	76.1 MB
7	c3/10918b	164312	APHL_GAS:GAS:EMM_MLST:SHOVILL (SRR38121699)	CACHED	0	2026-05-01 12:23:47.172	4m 31s	3m 45s	261.9%	3.7 GB	51.5 GB	1.9 GB	1.8 GB
8	45/193551	164419	APHL_GAS:GAS:EMM_MLST:QUAST (SRR38121699)	CACHED	0	2026-05-01 12:28:26.240	4m 50s	22.5s	83.2%	80 MB	2.7 GB	193.9 MB	5.9 MB
10	8a/f6e065	164415	APHL_GAS:GAS:EMM_MLST:EMM_TYPER (SRR38121699)	CACHED	0	2026-05-01 12:28:21.774	4m 29s	2s	1158.0%	55.6 MB	14.9 GB	19.6 MB	2.9 KB
9	97/a40517	164413	APHL_GAS:GAS:EMM_MLST:MLST (SRR38121699)	CACHED	0	2026-05-01 12:28:20.992	4m 30s	2s	45.6%	145.6 MB	205.8 MB	6.3 MB	2.7 MB
12	f8/80e9ca	164313	APHL_GAS:GAS:FASTP (SRR38121698)	CACHED	0	2026-05-01 12:23:48.734	53.5s	47.8s	118.8%	1.3 GB	1.9 GB	113.2 MB	59.7 MB
11	5c/012ab9	164314	APHL_GAS:GAS:EMM_MLST:SHOVILL (SRR38121698)	CACHED	0	2026-05-01 12:23:48.754	3m 44s	3m 1s	318.6%	1.8 GB	51.5 GB	1.5 GB	1.3 GB
14	08/789d1b	164406	APHL_GAS:GAS:EMM_MLST:QUAST (SRR38121698)	CACHED	0	2026-05-01 12:28:13.887	4m 10s	9.4s	231.4%	80.2 MB	2.7 GB	194.5 MB	5.8 MB
15	d1/2891be	164404	APHL_GAS:GAS:EMM_MLST:EMM_TYPER (SRR38121698)	CACHED	0	2026-05-01 12:28:13.101	4m 7s	1.6s	1236.1%	15.1 MB	21.9 MB	19.5 MB	3.1 KB
13	0b/b7265a	164405	APHL_GAS:GAS:EMM_MLST:MLST (SRR38121698)	CACHED	0	2026-05-01 12:28:13.527	4m 7s	1.9s	47.7%	157.3 MB	220.6 MB	6.2 MB	2.6 MB
17	1d/3f581c	164315	APHL_GAS:GAS:EMM_MLST:SHOVILL (SRR38121697)	CACHED	0	2026-05-01 12:23:50.933	4m 27s	3m 47s	266.9%	3.2 GB	51.5 GB	2 GB	1.8 GB
18	bf/5b5a50	164418	APHL_GAS:GAS:EMM_MLST:QUAST (SRR38121697)	CACHED	0	2026-05-01 12:28:25.575	4m 50s	21.7s	100.3%	80.1 MB	2.7 GB	194.1 MB	5.8 MB
19	8a/9731a7	164414	APHL_GAS:GAS:EMM_MLST:MLST (SRR38121697)	CACHED	0	2026-05-01 12:28:21.086	4m 30s	2.1s	44.8%	123.8 MB	181 MB	6.2 MB	2.6 MB
